team_id,rating,wins,losses,last_match_time,name,tag,logo_url
2163,1673.0,1185,798,1677651601,Team Liquid,Liquid,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2163.png
8599101,1533.04,135,95,1677608125,Gaimin Gladiators,GG,https://steamusercontent-a.akamaihd.net/ugc/1850419664501191993/5DAAB68FB5604D29E1792A0F35E74B3FE3F3A026/
8605863,1518.76,165,105,1677622617,Entity,Entity,https://steamusercontent-a.akamaihd.net/ugc/1816635640278661784/C77C3FA0D190002E17524596E5C62083994E2535/
39,1498.42,1290,779,1677640158,Shopify Rebellion,SR,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/39.png
15,1469.78,1592,963,1677427250,PSG.LGD,PSG.LGD,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/15.png
8291895,1440.27,199,123,1677689615,Tundra Esports,Tundra,https://steamusercontent-a.akamaihd.net/ugc/2031716132171967904/07B168B8063D9B22CDAD53AB421ECAF3D4B2E07E/
2586976,1437.16,841,532,1675195800,OG,OG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2586976.png
8255756,1436.09,166,162,1677622617,Evil Geniuses,EG,https://steamusercontent-a.akamaihd.net/ugc/1983302387907692940/BAA861E234E1BA39D75DF4CB814A5B76D020BED7/
6209166,1417.41,535,437,1677689615,Team Aster,Aster,https://steamusercontent-a.akamaihd.net/ugc/1629730253163462144/FEF15B2B4528E81103DD693E37FD7B6C9BE6B471/
8254400,1375.06,165,128,1677452141,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/2008072595679478968/A080A63C70A5DEA039FBC1AE798EE2570E194606/
8260983,1372.52,206,121,1677427967,TSM,TSM,https://steamusercontent-a.akamaihd.net/ugc/1996813186806561034/BC39F0DC131EDC7D7D8A9DCE4933B4A8B0966004/
726228,1359.36,1416,1025,1676893825,Vici Gaming,VG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/726228.png
1838315,1359.22,1036,534,1674853699,Team Secret,Secret,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1838315.png
7422789,1356.31,325,285,1677449503,HellRaisers,HR,https://steamusercontent-a.akamaihd.net/ugc/1831286133097023803/90F55813EB2ACD140D381894135B7872E2B9E3F7/
8254145,1350.63,391,314,1677428238,Execration,XctN,https://steamusercontent-a.akamaihd.net/ugc/2024966396057134788/4EE29568BB91ECB5E77FC61824B6264789485060/
8728920,1345.68,76,49,1676765854,nouns,nouns,https://steamusercontent-a.akamaihd.net/ugc/1861686187975269057/6E221E0B04CCB4AEF93A3FDA4DC7873A1BBAFAE2/
8261500,1330.73,153,141,1675511836,Xtreme Gaming,XG,https://steamusercontent-a.akamaihd.net/ugc/2023835418754383891/3449F2F94858E332CE6FAD2C1160E3657EF33ACD/
7554697,1328.56,277,247,1675027155,Nigma Galaxy,NGX,https://steamusercontent-a.akamaihd.net/ugc/1827894588975105240/421C0D8318D71D5DD31FD08A7933AB622AE26590/
8574561,1326.18,77,52,1676882792,Ybb Gaming,Ybb,https://steamusercontent-a.akamaihd.net/ugc/1742350376840285855/69B4782E6BA78B8147632D057EB949D4CB1F420B/
8261554,1325.79,336,319,1676959846,Army Geniuses,AG,https://steamusercontent-a.akamaihd.net/ugc/1672491383394456562/9D45CAD8AC1FBB995F744F2751AAF4E36493913E/
8255888,1320.81,137,149,1677438323,BetBoom Team,BetBoom,https://steamusercontent-a.akamaihd.net/ugc/2037351993974889309/0C315FDCE88EA888A48EC3C879ED946A4139CC9E/
8525778,1310.74,231,148,1676811655,Polaris Esports,Polaris,https://steamusercontent-a.akamaihd.net/ugc/1831290045925630948/400C4E5FD779D964D9BEC5E44D414073ADC03790/
8588969,1303.87,185,134,1677009114,HYDRA,HYDRA,https://steamusercontent-a.akamaihd.net/ugc/1977673132002351940/A9227AFA6C2DD7F9A1A8E0F5C4278579DB10833F/
8244493,1301.72,228,171,1677660426,Team SMG,SMG,https://steamusercontent-a.akamaihd.net/ugc/1856049226625971775/C8540DF2478E5EE8890CD4128DE07176F9FE5FA2/
111474,1289.83,1201,955,1677074355,Alliance,Alliance,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/111474.png
8607159,1280.32,167,132,1676754955,5RATFORCESTAFF,5RF,https://steamusercontent-a.akamaihd.net/ugc/1832398188596800021/DDDF890F07B508BE85E39AF389DFFDD22095F04D/
350190,1278.99,1203,892,1676540932,Fnatic,Fnatic,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/350190.png
1883502,1262.99,1369,1016,1650719046,Virtus.pro,VP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1883502.png
8169775,1262.79,375,327,1677449503,Geek Slate,GS,https://steamusercontent-a.akamaihd.net/ugc/5103172932233446011/3058B0F89286FD96A1935BD71A57FB44563813D1/
8724984,1241.53,71,57,1676133305,Virtus.pro,VP,https://steamusercontent-a.akamaihd.net/ugc/1796396122320355023/2E833B3744ECB93AD9FF3797C0309B4ADB54AD2E/
4,1227.72,904,766,1677426601,EHOME,EHOME,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4.png
7391077,1222.34,196,140,1676509797,Thunder Awaken,THUNDER,https://steamusercontent-a.akamaihd.net/ugc/1934884345503908192/2029F54E8FA42B272E147954D38B199402B3589E/
8376696,1220.57,157,107,1675092919,One Move,Move,https://steamusercontent-a.akamaihd.net/ugc/1857183850310080331/2016A60B73B29A620CFA81A830603361CBB388AD/
7119077,1212.06,201,240,1676594222,Alliance.LATAM,A.LATAM,https://steamusercontent-a.akamaihd.net/ugc/2011451667192331191/92F272372EE8B61056ACCFDDB2FF08BE203735B4/
7300277,1208.99,143,102,1677068111,Monaspa,MonaspA,https://steamusercontent-a.akamaihd.net/ugc/1714169270383928706/AFB71FD2ABF10FBD4AEC01748F45C05DD7960A35/
6209804,1203.4,574,419,1677433151,Knights,Knights,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/6209804.png
8686786,1203.14,1599,109,1676585181,Ravens,Ravens,https://steamusercontent-a.akamaihd.net/ugc/1827904737028788458/3C13F25AEFBE885A67EE515D055CCE87B3CD4ECF/
8261648,1201.61,164,154,1677009114,PuckChamp,PC,https://steamusercontent-a.akamaihd.net/ugc/1883081308671045364/AAB8E517ADA03AFB4DC1847E2377430B3929770D/
8597391,1188.92,102,91,1677074355,D2 Hustlers,Hustler,https://steamusercontent-a.akamaihd.net/ugc/5095291632880656070/F4E9C7842181ACB2AF195248399F08A15AAAC5C9/
7653080,1184.4,450,423,1671628816,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/1772699046724205365/4B26D0595EF6D331640462985C7C6E01E1BA63AD/
8376426,1167.02,144,128,1675048053,B8,B8,https://steamusercontent-a.akamaihd.net/ugc/2030594077477371362/8D84BF07D726E47655BD7CED1B6CFB053B97B672/
7453020,1166.16,257,340,1675411183,Aster.Aries,Aries,https://steamusercontent-a.akamaihd.net/ugc/1021697620249691876/0C6C8F47D723EF0B110292609BFDB64EB7B9553C/
5014799,1160.99,379,367,1675858617,Nemiga Gaming,Nemiga,https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/
36,1158.85,1103,926,1675004630,Natus Vincere,NAVI,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png
7732977,1155.74,393,268,1677668930,BOOM Esports,BOOM,https://steamusercontent-a.akamaihd.net/ugc/768365068750604173/EF3216F4B02A0DA2327AC3190A369349C7BF3A24/
7441136,1154.85,181,159,1608415239,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/773981410527259604/8B88726CBCA1E1F5FC3368D49BCF84F609B138FF/
8360138,1151.53,449,392,1677233669,Neon Esports,neon,https://steamusercontent-a.akamaihd.net/ugc/1905612771137210708/67688ED3000B1B2140DCDD96275E114F3F9F3BC7/
1846548,1142.55,160,190,1511815094,HellRaisers,HR,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1846548.png
8375259,1131.95,125,141,1676341151,Infinity,Infinity,https://steamusercontent-a.akamaihd.net/ugc/2012577143832299242/0B29AFE6D9B224CB4EDB33A07AAC0D3FD19A00A6/
8384158,1114.85,22,14,1625777067,Into The Breach,ITB,https://steamusercontent-a.akamaihd.net/ugc/1795223008077512746/B283A962A0FFF8636A3DC829C3F93BA4C9FEE214/
6409189,1112.06,191,156,1665166160,Team Empire Hope,EmpireH,https://steamusercontent-a.akamaihd.net/ugc/788624714192129581/94E7F21983B7BB2007C0273EB9A447386433DB36/
8545488,1111.85,100,92,1677073400,cybercats,CC,https://steamusercontent-a.akamaihd.net/ugc/1824528943478575817/657E92D2BF823497ED5C67BD7C48EF86CEF7A962/
7408845,1102.05,218,199,1636370173,Execration,XctN,https://steamusercontent-a.akamaihd.net/ugc/1479947126466883706/805E24B193B5C67C2B505C8808AD7E56DA302273/
8937275,1092.54,6,3,1670509044,Lilgun,lg,
8070280,1091.92,12,6,1610309701,Into The Breach,ITB,https://steamusercontent-a.akamaihd.net/ugc/1797474801463672859/93D8F6BCFB2B0EA85DDC501C9C4B5A345F120E44/
8359797,1088.86,25,23,1621948945,Level UP,lvlUP,https://steamusercontent-a.akamaihd.net/ugc/1733296801103989540/D20738550A0F11285E98FFCF44DFF92438FB27C5/
7079109,1084.86,22,34,1592098426,beastcoast,bc,https://steamusercontent-a.akamaihd.net/ugc/824632623398435452/85EA3FC27708076F8ACC2E5B70E25EEC72B09CC6/
8937383,1083.6,9,4,1671128179,Mind Games,MG,
8944582,1083.28,23,22,1673596893,Lilgun,lg,https://steamusercontent-a.akamaihd.net/ugc/2031719436235354148/316D93ECBF4805E1EF70E43D4F15B0DD08C9E0C8/
8124688,1080.1,391,346,1677646464,LBZS,LBZS,https://steamusercontent-a.akamaihd.net/ugc/2024966117774012159/0641C065D63A8DA43E27D33A6D9EDFFA83453174/
8620831,1074.82,14,14,1677336602,Rune Eaters,RE,https://steamusercontent-a.akamaihd.net/ugc/1817772904809152078/BDF26F2969C66C9C945414EE57C866E1743B6086/
5065748,1069.67,74,81,1529524041,Infamous,Infamous,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5065748.png
8680612,1067.98,127,130,1676743543,Dreamers Esports,DRE,https://steamusercontent-a.akamaihd.net/ugc/1990058421553897788/FB2DB866A26D1726E28A33B2BDA6E641CF75465B/
7375761,1065.96,5,1,1569183794,HellRaisers,HR,https://steamusercontent-a.akamaihd.net/ugc/767225215024179562/6C8FEB4B51D9738B69903834B38AD2DD510A2A24/
7188686,1063.76,11,6,1566058821,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/776222901726348542/E7084EC04CFD0423EF81C3633217117B0FA11384/
